Characteristic,Number of users in millions
Q4 '23,"3,065"
Q3 '23,"3,049"
Q2 '23,"3,030"
Q1 '23,"2,989"
Q4 '22,"2,963"
Q3 '22,"2,958"
Q2 '22,"2,934"
Q1 '22,"2,936"
Q4 '21,"2,912"
Q3 '21,"2,910"
Q2 '21,"2,895"
Q1 '21,"2,853"
Q4 '20,"2,797"
Q3 '20,"2,740"
Q2 '20,"2,701"
Q1 '20,"2,603"
Q4 '19,"2,498"
Q3 '19,"2,449"
Q2 '19,"2,414"
Q1 '19,"2,375"
Q4 '18,"2,320"
Q3 '18,"2,271"
Q2 '18,"2,234"
Q1 '18,"2,196"
Q4 '17,"2,129"
Q3 '17,"2,072"
Q2 '17,"2,006"
Q1 '17,"1,936"
Q4 '16,"1,860"
Q3 '16,"1,788"
Q2 '16,"1,712"
Q1 '16,"1,654"
Q4 '15,"1,591"
Q3 '15,"1,545"
Q2 '15,"1,490"
Q1 '15,"1,441"
Q4 '14,"1,393"
Q3 '14,"1,350"
Q2 '14,"1,317"
Q1 '14,"1,276"
Q4 '13,"1,228"
Q3 '13,"1,189"
Q2 '13,"1,155"
Q1 '13,"1,110"
Q4 '12,"1,056"
Q3 '12,"1,007"
Q2 '12,955
Q1 '12,901
Q4 '11,845
Q3 '11,800
Q2 '11,739
Q1 '11,680
Q4 '10,608
Q3 '10,550
Q2 '10,482
Q1 '10,431
Q4 '09,360
Q3 '09,305
Q2 '09,242
Q1 '09,197
Q3 '08,100
